version	round	cache_mode	sample	time_unit	native_def_read_us	native_def_write_us	edadb_write_us	edadb_read_us
baseline	1	cold	run-1	us	48827	6905	2321242	11959197
baseline	1	warm	run-1	us	48250	6901	2494176	11921305
baseline	2	cold	run-1	us	49731	6980	2331477	11950827
baseline	2	warm	run-1	us	48272	6897	2410090	11932964
baseline	3	cold	run-1	us	50934	6980	2233728	12055493
baseline	3	warm	run-1	us	48078	6963	2153786	12382369
baseline	4	cold	run-1	us	48977	6827	2113830	12221657
baseline	4	warm	run-1	us	48315	6971	2211235	11926067
baseline	5	cold	run-1	us	48890	7083	2088234	11960965
baseline	5	warm	run-1	us	48767	6920	2277177	11931378
optimized	1	cold	run-1	us	48309	7052	365405	134358
optimized	1	warm	run-1	us	47681	6951	375621	108873
optimized	2	cold	run-1	us	62355	6880	377705	131089
optimized	2	warm	run-1	us	47242	7120	419340	108371
optimized	3	cold	run-1	us	47993	6889	413533	181958
optimized	3	warm	run-1	us	47295	7033	438057	102469
optimized	4	cold	run-1	us	55298	6940	415170	189077
optimized	4	warm	run-1	us	47189	7078	414477	111069
optimized	5	cold	run-1	us	48330	7237	414924	187402
optimized	5	warm	run-1	us	47322	7034	434134	109539
