version	round	metric	time_us
optimized	1	native_def_read	47274
optimized	1	native_def_write	6884
optimized	1	edadb_read	101143
optimized	1	edadb_write	355422
original	1	native_def_read	47455
original	1	native_def_write	6851
original	2	native_def_read	47484
original	2	native_def_write	6845
optimized	2	native_def_read	47317
optimized	2	native_def_write	6895
optimized	2	edadb_read	102055
optimized	2	edadb_write	492735
optimized	3	native_def_read	47172
optimized	3	native_def_write	6847
optimized	3	edadb_read	108381
optimized	3	edadb_write	479990
original	3	native_def_read	47732
original	3	native_def_write	6894
original	4	native_def_read	47479
original	4	native_def_write	7631
optimized	4	native_def_read	47245
optimized	4	native_def_write	6888
optimized	4	edadb_read	106132
optimized	4	edadb_write	371532
optimized	5	native_def_read	47323
optimized	5	native_def_write	6878
optimized	5	edadb_read	113768
optimized	5	edadb_write	364749
original	5	native_def_read	47904
original	5	native_def_write	6855
