round	operation	stage	time_ns
1	read	init	442885
1	read	create	0
1	read	read	104533882
1	read	other	411
1	read	command	104977178
1	read	outside_session	2512822
1	read	tcl_command	107490000
1	write	init	182707
1	write	create	94806797
1	write	write	275905233
1	write	other	729
1	write	command	370895466
1	write	outside_session	88534
1	write	tcl_command	370984000
2	read	init	430786
2	read	create	0
2	read	read	102504466
2	read	other	342
2	read	command	102935594
2	read	outside_session	2557406
2	read	tcl_command	105493000
2	write	init	183513
2	write	create	88681171
2	write	write	277500066
2	write	other	512
2	write	command	366365262
2	write	outside_session	86738
2	write	tcl_command	366452000
3	read	init	431938
3	read	create	0
3	read	read	103647358
3	read	other	367
3	read	command	104079663
3	read	outside_session	2534337
3	read	tcl_command	106614000
3	write	init	178003
3	write	create	90302160
3	write	write	284066248
3	write	other	645
3	write	command	374547056
3	write	outside_session	87944
3	write	tcl_command	374635000
4	read	init	429776
4	read	create	0
4	read	read	99779862
4	read	other	285
4	read	command	100209923
4	read	outside_session	2466077
4	read	tcl_command	102676000
4	write	init	180712
4	write	create	90147858
4	write	write	284062571
4	write	other	677
4	write	command	374391818
4	write	outside_session	90182
4	write	tcl_command	374482000
5	read	init	429074
5	read	create	0
5	read	read	104367947
5	read	other	421
5	read	command	104797442
5	read	outside_session	2650558
5	read	tcl_command	107448000
5	write	init	178178
5	write	create	84829643
5	write	write	275818839
5	write	other	616
5	write	command	360827276
5	write	outside_session	85724
5	write	tcl_command	360913000
