pair	timing	time_us	db_digest
1	off	1695107	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
1	on	2010816	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
2	on	1817749	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
2	off	2270659	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
3	off	1989662	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
3	on	2025514	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
4	on	2169566	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
4	off	2288258	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
5	off	2324221	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
5	on	2301049	a7656a7bd1b502fb8fa626443538ee4935687a5cc870a8d0836c011f2f54b091
