timing	cache	sample	metric	time_ms
off	cold	run-1	native_def_read	48.563
off	cold	run-1	native_def_write	6.819
off	cold	run-1	edadb_read	138.736
off	cold	run-1	edadb_write	1728.084
off	cold	run-2	native_def_read	48.178
off	cold	run-2	native_def_write	7.045
off	cold	run-2	edadb_read	136.54
off	cold	run-2	edadb_write	2162.33
off	cold	run-3	native_def_read	48.25
off	cold	run-3	native_def_write	6.854
off	cold	run-3	edadb_read	148.233
off	cold	run-3	edadb_write	1659.771
off	cold	run-4	native_def_read	48.443
off	cold	run-4	native_def_write	7.001
off	cold	run-4	edadb_read	146.164
off	cold	run-4	edadb_write	1796.981
off	cold	run-5	native_def_read	48.374
off	cold	run-5	native_def_write	6.858
off	cold	run-5	edadb_read	206.88
off	cold	run-5	edadb_write	1860.915
off	warm	run-1	native_def_read	47.396
off	warm	run-1	native_def_write	6.802
off	warm	run-1	edadb_read	103.645
off	warm	run-1	edadb_write	1680.329
off	warm	run-2	native_def_read	47.64
off	warm	run-2	native_def_write	7.084
off	warm	run-2	edadb_read	101.394
off	warm	run-2	edadb_write	2074.902
off	warm	run-3	native_def_read	47.449
off	warm	run-3	native_def_write	6.768
off	warm	run-3	edadb_read	106.8
off	warm	run-3	edadb_write	1762.623
off	warm	run-4	native_def_read	47.583
off	warm	run-4	native_def_write	7.025
off	warm	run-4	edadb_read	106.307
off	warm	run-4	edadb_write	2217.046
off	warm	run-5	native_def_read	47.437
off	warm	run-5	native_def_write	6.818
off	warm	run-5	edadb_read	112.285
off	warm	run-5	edadb_write	1864.653
on	cold	run-1	native_def_read	48.437
on	cold	run-1	native_def_write	7.028
on	cold	run-1	edadb_read	142.897
on	cold	run-1	edadb_write	2231.926
on	cold	run-1	stage_write_init	0.168688
on	cold	run-1	stage_write_create	1384.137654
on	cold	run-1	stage_write_write	847.541737
on	cold	run-1	stage_write_other	0.00087
on	cold	run-1	stage_write_command	2231.848949
on	cold	run-1	stage_read_init	0.89436
on	cold	run-1	stage_read_create	0.0
on	cold	run-1	stage_read_read	139.316244
on	cold	run-1	stage_read_other	0.00066
on	cold	run-1	stage_read_command	140.211264
on	cold	run-2	native_def_read	48.385
on	cold	run-2	native_def_write	6.786
on	cold	run-2	edadb_read	182.887
on	cold	run-2	edadb_write	2371.152
on	cold	run-2	stage_write_init	0.228975
on	cold	run-2	stage_write_create	1398.460149
on	cold	run-2	stage_write_write	972.382125
on	cold	run-2	stage_write_other	0.000609
on	cold	run-2	stage_write_command	2371.071858
on	cold	run-2	stage_read_init	0.86991
on	cold	run-2	stage_read_create	0.0
on	cold	run-2	stage_read_read	179.439256
on	cold	run-2	stage_read_other	0.000279
on	cold	run-2	stage_read_command	180.309445
on	cold	run-3	native_def_read	48.932
on	cold	run-3	native_def_write	6.852
on	cold	run-3	edadb_read	258.937
on	cold	run-3	edadb_write	2080.131
on	cold	run-3	stage_write_init	0.170481
on	cold	run-3	stage_write_create	1249.095044
on	cold	run-3	stage_write_write	830.789464
on	cold	run-3	stage_write_other	0.000657
on	cold	run-3	stage_write_command	2080.055646
on	cold	run-3	stage_read_init	14.414381
on	cold	run-3	stage_read_create	0.0
on	cold	run-3	stage_read_read	241.765626
on	cold	run-3	stage_read_other	0.000363
on	cold	run-3	stage_read_command	256.18037
on	cold	run-4	native_def_read	59.001
on	cold	run-4	native_def_write	6.874
on	cold	run-4	edadb_read	140.425
on	cold	run-4	edadb_write	2131.196
on	cold	run-4	stage_write_init	0.169662
on	cold	run-4	stage_write_create	1224.126734
on	cold	run-4	stage_write_write	906.816357
on	cold	run-4	stage_write_other	0.000553
on	cold	run-4	stage_write_command	2131.113306
on	cold	run-4	stage_read_init	0.731804
on	cold	run-4	stage_read_create	0.0
on	cold	run-4	stage_read_read	137.086466
on	cold	run-4	stage_read_other	0.000438
on	cold	run-4	stage_read_command	137.818708
on	cold	run-5	native_def_read	48.583
on	cold	run-5	native_def_write	6.792
on	cold	run-5	edadb_read	138.604
on	cold	run-5	edadb_write	1996.952
on	cold	run-5	stage_write_init	0.170333
on	cold	run-5	stage_write_create	1024.473595
on	cold	run-5	stage_write_write	972.232722
on	cold	run-5	stage_write_other	0.000634
on	cold	run-5	stage_write_command	1996.877284
on	cold	run-5	stage_read_init	0.720563
on	cold	run-5	stage_read_create	0.0
on	cold	run-5	stage_read_read	135.216338
on	cold	run-5	stage_read_other	0.000343
on	cold	run-5	stage_read_command	135.937244
on	warm	run-1	native_def_read	47.668
on	warm	run-1	native_def_write	6.827
on	warm	run-1	edadb_read	109.619
on	warm	run-1	edadb_write	1721.493
on	warm	run-1	stage_write_init	0.171651
on	warm	run-1	stage_write_create	982.338728
on	warm	run-1	stage_write_write	738.907196
on	warm	run-1	stage_write_other	0.000569
on	warm	run-1	stage_write_command	1721.418144
on	warm	run-1	stage_read_init	0.420962
on	warm	run-1	stage_read_create	0.0
on	warm	run-1	stage_read_read	106.392175
on	warm	run-1	stage_read_other	0.000382
on	warm	run-1	stage_read_command	106.813519
on	warm	run-2	native_def_read	47.52
on	warm	run-2	native_def_write	7.308
on	warm	run-2	edadb_read	112.12
on	warm	run-2	edadb_write	1778.498
on	warm	run-2	stage_write_init	0.17322
on	warm	run-2	stage_write_create	955.453834
on	warm	run-2	stage_write_write	822.797007
on	warm	run-2	stage_write_other	0.00057
on	warm	run-2	stage_write_command	1778.424631
on	warm	run-2	stage_read_init	0.420624
on	warm	run-2	stage_read_create	0.0
on	warm	run-2	stage_read_read	109.034302
on	warm	run-2	stage_read_other	0.000342
on	warm	run-2	stage_read_command	109.455268
on	warm	run-3	native_def_read	47.329
on	warm	run-3	native_def_write	6.846
on	warm	run-3	edadb_read	105.851
on	warm	run-3	edadb_write	1796.407
on	warm	run-3	stage_write_init	0.172263
on	warm	run-3	stage_write_create	1023.296025
on	warm	run-3	stage_write_write	772.859731
on	warm	run-3	stage_write_other	0.000477
on	warm	run-3	stage_write_command	1796.328496
on	warm	run-3	stage_read_init	0.425263
on	warm	run-3	stage_read_create	0.0
on	warm	run-3	stage_read_read	102.723646
on	warm	run-3	stage_read_other	0.000437
on	warm	run-3	stage_read_command	103.149346
on	warm	run-4	native_def_read	47.651
on	warm	run-4	native_def_write	6.901
on	warm	run-4	edadb_read	101.478
on	warm	run-4	edadb_write	1779.858
on	warm	run-4	stage_write_init	0.172708
on	warm	run-4	stage_write_create	957.193078
on	warm	run-4	stage_write_write	822.408372
on	warm	run-4	stage_write_other	0.000416
on	warm	run-4	stage_write_command	1779.774574
on	warm	run-4	stage_read_init	0.404469
on	warm	run-4	stage_read_create	0.0
on	warm	run-4	stage_read_read	98.46893
on	warm	run-4	stage_read_other	0.000377
on	warm	run-4	stage_read_command	98.873776
on	warm	run-5	native_def_read	49.068
on	warm	run-5	native_def_write	7.158
on	warm	run-5	edadb_read	112.353
on	warm	run-5	edadb_write	2046.035
on	warm	run-5	stage_write_init	0.176237
on	warm	run-5	stage_write_create	1248.484172
on	warm	run-5	stage_write_write	797.298026
on	warm	run-5	stage_write_other	0.000621
on	warm	run-5	stage_write_command	2045.959056
on	warm	run-5	stage_read_init	0.419769
on	warm	run-5	stage_read_create	0.0
on	warm	run-5	stage_read_read	109.318555
on	warm	run-5	stage_read_other	0.000262
on	warm	run-5	stage_read_command	109.738586
