timing	cache	metric	count	mean_ms	median_ms	min_ms	max_ms
off	cold	edadb_read	5	155.3106	146.164	136.54	206.88
off	cold	edadb_write	5	1841.6162	1796.981	1659.771	2162.33
off	cold	native_def_read	5	48.3616	48.374	48.178	48.563
off	cold	native_def_write	5	6.9154	6.858	6.819	7.045
off	warm	edadb_read	5	106.0862	106.307	101.394	112.285
off	warm	edadb_write	5	1919.9106	1864.653	1680.329	2217.046
off	warm	native_def_read	5	47.501	47.449	47.396	47.64
off	warm	native_def_write	5	6.8994	6.818	6.768	7.084
on	cold	edadb_read	5	172.75	142.897	138.604	258.937
on	cold	edadb_write	5	2162.2714	2131.196	1996.952	2371.152
on	cold	native_def_read	5	50.6676	48.583	48.385	59.001
on	cold	native_def_write	5	6.8664	6.852	6.786	7.028
on	cold	stage_read_command	5	170.0914062	140.211264	135.937244	256.18037
on	cold	stage_read_create	5	0.0	0.0	0.0	0.0
on	cold	stage_read_init	5	3.5262036	0.86991	0.720563	14.414381
on	cold	stage_read_other	5	0.0004166	0.000363	0.000279	0.00066
on	cold	stage_read_read	5	166.564786	139.316244	135.216338	241.765626
on	cold	stage_write_command	5	2162.1934086	2131.113306	1996.877284	2371.071858
on	cold	stage_write_create	5	1256.0586352	1249.095044	1024.473595	1398.460149
on	cold	stage_write_init	5	0.1816278	0.170333	0.168688	0.228975
on	cold	stage_write_other	5	0.0006646	0.000634	0.000553	0.00087
on	cold	stage_write_write	5	905.952481	906.816357	830.789464	972.382125
on	warm	edadb_read	5	108.2842	109.619	101.478	112.353
on	warm	edadb_write	5	1824.4582	1779.858	1721.493	2046.035
on	warm	native_def_read	5	47.8472	47.651	47.329	49.068
on	warm	native_def_write	5	7.008	6.901	6.827	7.308
on	warm	stage_read_command	5	105.606099	106.813519	98.873776	109.738586
on	warm	stage_read_create	5	0.0	0.0	0.0	0.0
on	warm	stage_read_init	5	0.4182174	0.420624	0.404469	0.425263
on	warm	stage_read_other	5	0.00036	0.000377	0.000262	0.000437
on	warm	stage_read_read	5	105.1875216	106.392175	98.46893	109.318555
on	warm	stage_write_command	5	1824.3809802	1779.774574	1721.418144	2045.959056
on	warm	stage_write_create	5	1033.3531674	982.338728	955.453834	1248.484172
on	warm	stage_write_init	5	0.1732158	0.172708	0.171651	0.176237
on	warm	stage_write_other	5	0.0005306	0.000569	0.000416	0.000621
on	warm	stage_write_write	5	790.8540664	797.298026	738.907196	822.797007
