timing	cache	sample	metric	time_ms
off	cold	run-1	native_def_read	47.94
off	cold	run-1	native_def_write	6.843
off	cold	run-1	edadb_read	139.498
off	cold	run-1	edadb_write	340.095
off	cold	run-2	native_def_read	48.402
off	cold	run-2	native_def_write	7.093
off	cold	run-2	edadb_read	142.149
off	cold	run-2	edadb_write	324.982
off	cold	run-3	native_def_read	48.143
off	cold	run-3	native_def_write	6.863
off	cold	run-3	edadb_read	132.429
off	cold	run-3	edadb_write	365.626
off	cold	run-4	native_def_read	48.046
off	cold	run-4	native_def_write	6.865
off	cold	run-4	edadb_read	130.72
off	cold	run-4	edadb_write	336.712
off	cold	run-5	native_def_read	48.113
off	cold	run-5	native_def_write	6.836
off	cold	run-5	edadb_read	176.91
off	cold	run-5	edadb_write	341.953
off	warm	run-1	native_def_read	49.327
off	warm	run-1	native_def_write	7.03
off	warm	run-1	edadb_read	110.507
off	warm	run-1	edadb_write	377.569
off	warm	run-2	native_def_read	47.159
off	warm	run-2	native_def_write	7.001
off	warm	run-2	edadb_read	103.872
off	warm	run-2	edadb_write	372.238
off	warm	run-3	native_def_read	47.499
off	warm	run-3	native_def_write	7.65
off	warm	run-3	edadb_read	103.647
off	warm	run-3	edadb_write	356.846
off	warm	run-4	native_def_read	47.622
off	warm	run-4	native_def_write	6.862
off	warm	run-4	edadb_read	107.443
off	warm	run-4	edadb_write	328.927
off	warm	run-5	native_def_read	47.497
off	warm	run-5	native_def_write	6.842
off	warm	run-5	edadb_read	109.549
off	warm	run-5	edadb_write	360.43
on	cold	run-1	native_def_read	48.004
on	cold	run-1	native_def_write	6.831
on	cold	run-1	edadb_read	180.213
on	cold	run-1	edadb_write	391.752
on	cold	run-1	stage_write_init	0.173943
on	cold	run-1	stage_write_create	99.111361
on	cold	run-1	stage_write_write	292.390788
on	cold	run-1	stage_write_other	0.000488
on	cold	run-1	stage_write_command	391.67658
on	cold	run-1	stage_read_init	0.896949
on	cold	run-1	stage_read_create	0.0
on	cold	run-1	stage_read_read	176.154268
on	cold	run-1	stage_read_other	0.000401
on	cold	run-1	stage_read_command	177.051618
on	cold	run-2	native_def_read	48.072
on	cold	run-2	native_def_write	6.839
on	cold	run-2	edadb_read	180.786
on	cold	run-2	edadb_write	369.829
