timing	cache	metric	count	mean_ms	median_ms	min_ms	max_ms
off	cold	edadb_read	5	144.3412	139.498	130.72	176.91
off	cold	edadb_write	5	341.8736	340.095	324.982	365.626
off	cold	native_def_read	5	48.1288	48.113	47.94	48.402
off	cold	native_def_write	5	6.9	6.863	6.836	7.093
off	warm	edadb_read	5	107.0036	107.443	103.647	110.507
off	warm	edadb_write	5	359.202	360.43	328.927	377.569
off	warm	native_def_read	5	47.8208	47.499	47.159	49.327
off	warm	native_def_write	5	7.077	7.001	6.842	7.65
on	cold	edadb_read	5	169.625	180.213	127.611	183.618
on	cold	edadb_write	5	381.0102	381.476	369.829	391.752
on	cold	native_def_read	5	49.87	48.065	47.763	57.446
on	cold	native_def_write	5	6.9398	6.868	6.831	7.166
on	cold	stage_read_command	5	166.86181200000001	177.051618	124.828001	181.119355
on	cold	stage_read_create	5	0.0	0.0	0.0	0.0
on	cold	stage_read_init	5	0.8179802	0.866128	0.709412	0.903766
on	cold	stage_read_other	5	0.0003834	0.000384	0.000326	0.000443
on	cold	stage_read_read	5	166.0434484	176.154268	123.923792	180.405383
on	cold	stage_write_command	5	380.9344748	381.400059	369.751746	391.67658
on	cold	stage_write_create	5	98.3496176	99.111361	93.831033	101.573494
on	cold	stage_write_init	5	0.1710816	0.171176	0.167781	0.173943
on	cold	stage_write_other	5	0.0005434	0.000526	0.000488	0.000622
on	cold	stage_write_write	5	282.4132322	284.066205	275.747884	292.390788
on	warm	edadb_read	5	107.0758	104.135	101.609	114.983
on	warm	edadb_write	5	344.9408	342.047	309.077	389.217
on	warm	native_def_read	5	49.243	47.638	46.886	55.244
on	warm	native_def_write	5	6.9108	6.886	6.812	7.031
on	warm	stage_read_command	5	104.6072058	101.754942	99.187031	112.351057
on	warm	stage_read_create	5	0.0	0.0	0.0	0.0
on	warm	stage_read_init	5	0.4291142	0.426868	0.419295	0.449121
on	warm	stage_read_other	5	0.0003448	0.00035	0.000247	0.000437
on	warm	stage_read_read	5	104.1777468	101.324012	98.766984	111.931412
on	warm	stage_write_command	5	344.8643048	341.968651	308.998797	389.141733
on	warm	stage_write_create	5	87.2452576	89.525952	74.709936	104.819349
on	warm	stage_write_init	5	0.1797512	0.178535	0.172884	0.1855
on	warm	stage_write_other	5	0.000606	0.000618	0.000496	0.000655
on	warm	stage_write_write	5	257.43869	259.062507	234.110799	284.143238
