batch	source_path	cache_mode	sample	time_unit	native_def_read_us	native_def_write_us	edadb_write_us	edadb_read_us
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	cold	run-1	us	71902	8676	2518688	19478124
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	cold	run-2	us	131529	8569	2334579	19560373
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	cold	run-3	us	98573	8705	2376249	19581816
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	cold	run-4	us	73432	8597	2334372	19481822
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	cold	run-5	us	79940	8604	2266125	18850347
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	warm	run-1	us	71045	8819	2306154	22958411
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	warm	run-2	us	74341	8617	2011603	19094996
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	warm	run-3	us	70983	8619	2463928	19164606
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	warm	run-4	us	71285	8663	1729696	19463571
B0	/tmp/iedadb_profile_filler/baseline/result.tsv	warm	run-5	us	73930	8726	1744638	18787631
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	cold	run-1	us	71387	8658	2092881	242327
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	cold	run-2	us	71531	8662	2286827	334580
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	cold	run-3	us	74602	8640	1822189	242077
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	cold	run-4	us	76951	8640	1909239	204311
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	cold	run-5	us	72476	28118	1973443	262459
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	warm	run-1	us	70599	8616	1842954	169480
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	warm	run-2	us	70667	8812	2224625	172724
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	warm	run-3	us	70629	8600	2166145	170179
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	warm	run-4	us	70740	8633	2311277	167359
P1	/tmp/iedadb_p1_profile_filler/baseline/result.tsv	warm	run-5	us	71859	8758	2300255	168477
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	cold	run-1	us	71451	8635	1116488	193551
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	cold	run-2	us	71260	8552	1119777	243504
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	cold	run-3	us	71131	8601	1107977	189921
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	cold	run-4	us	72026	8678	1263606	252559
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	cold	run-5	us	74590	8642	1196299	199610
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	warm	run-1	us	70953	8738	1131619	167590
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	warm	run-2	us	70372	8664	1145808	165931
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	warm	run-3	us	70631	8675	1112280	172919
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	warm	run-4	us	71687	8722	1121153	167056
P1_P3	/tmp/iedadb_p3_profile_filler/baseline/result.tsv	warm	run-5	us	70244	8590	1151062	167552
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	cold	run-1	us	80158	8679	379581	269776
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	cold	run-2	us	72107	16356	514573	617567
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	cold	run-3	us	90392	8601	508720	312935
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	cold	run-4	us	75342	8873	379241	336787
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	cold	run-5	us	82475	8871	401164	234810
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	warm	run-1	us	74069	8741	356838	171073
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	warm	run-2	us	74686	8740	362130	172396
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	warm	run-3	us	73930	8933	472295	176557
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	warm	run-4	us	74189	8706	378269	176744
P1_P3_P4	/tmp/iedadb_p4_profile_filler/baseline/result.tsv	warm	run-5	us	75312	8947	398580	170278
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	cold	run-1	us	71557	8819	414998	301832
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	cold	run-2	us	72195	8634	409757	310905
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	cold	run-3	us	72128	8721	433594	362799
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	cold	run-4	us	71425	8939	508694	286163
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	cold	run-5	us	72567	40185	458343	276990
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	warm	run-1	us	70672	8667	419683	169579
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	warm	run-2	us	71213	8672	580635	168488
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	warm	run-3	us	83414	8645	412399	176938
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	warm	run-4	us	70778	8683	430186	177796
P1_P3_P4_P5	/tmp/iedadb_p5_profile_filler/baseline/result.tsv	warm	run-5	us	71119	8692	440081	169372
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	cold	run-1	us	72473	8886	396907	250755
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	cold	run-2	us	77057	8925	364876	212694
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	cold	run-3	us	73418	8974	417939	337452
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	cold	run-4	us	71841	8853	359088	248939
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	cold	run-5	us	72896	8765	381085	231733
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	warm	run-1	us	71636	8769	365264	168227
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	warm	run-2	us	71115	8752	395792	216722
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	warm	run-3	us	71176	8825	416288	175712
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	warm	run-4	us	71330	8787	408612	171322
pre_P2_filler_recheck	/tmp/iedadb_p2_reassess_filler/baseline/result.tsv	warm	run-5	us	70983	8700	391184	169711
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	cold	run-1	us	563121	77307	2719754	2304850
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	cold	run-2	us	547895	148174	2723254	2250321
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	cold	run-3	us	560250	76985	2928792	2428010
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	cold	run-4	us	621720	77396	2980083	2299521
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	cold	run-5	us	545319	103492	2873002	2486682
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	warm	run-1	us	526170	147379	2926369	1965218
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	warm	run-2	us	552570	149633	2957790	1966411
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	warm	run-3	us	535921	156173	2942071	2035838
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	warm	run-4	us	525008	204870	3061043	1982438
pre_P2_routed	/tmp/iedadb_p2_reassess_routed/baseline/result.tsv	warm	run-5	us	527761	172499	2978955	1964268
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	cold	run-1	us	544694	133804	3026458	1796935
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	cold	run-2	us	575597	76440	2984703	1774658
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	cold	run-3	us	601537	76698	3185626	1779656
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	cold	run-4	us	587208	77941	2947078	1853979
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	cold	run-5	us	557716	171583	3004750	1771089
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	warm	run-1	us	525315	87634	2970005	1456611
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	warm	run-2	us	528215	179853	2734263	1458376
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	warm	run-3	us	565753	75911	2798862	1480124
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	warm	run-4	us	527350	124807	2785886	1473071
post_P2_routed	/tmp/iedadb_p2_leaf_batch_release5/result.tsv	warm	run-5	us	524959	153192	2779980	1485863
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	cold	run-1	us	112184	8652	2003311	19137204
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	cold	run-2	us	74158	8683	2151161	18982414
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	cold	run-3	us	89147	51219	2177412	18809070
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	cold	run-4	us	170108	8711	2089162	19038406
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	cold	run-5	us	116000	8655	2116884	18884969
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	warm	run-1	us	73604	8618	1907264	19599076
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	warm	run-2	us	87950	8804	2291552	18890395
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	warm	run-3	us	73568	8645	2125400	18787163
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	warm	run-4	us	73638	8659	2105656	18834735
final_B0_recheck	/tmp/iedadb_full_validation/perf_baseline/result.tsv	warm	run-5	us	73873	8647	2095094	19212043
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	cold	run-1	us	72423	8611	462629	173308
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	cold	run-2	us	110088	8737	431101	286179
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	cold	run-3	us	72327	8588	452275	345657
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	cold	run-4	us	85118	8651	413425	212225
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	cold	run-5	us	72438	8576	401789	264322
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	warm	run-1	us	72824	8924	395705	155784
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	warm	run-2	us	71022	8629	466346	153596
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	warm	run-3	us	71865	8710	412984	152742
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	warm	run-4	us	70728	8618	410681	152938
final_all_P_filler	/tmp/iedadb_full_validation/perf_current/result.tsv	warm	run-5	us	71023	8722	400111	151014
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	cold	run-1	us	47756	6910	1863000	157909
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	cold	run-2	us	47454	7007	2499688	155385
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	cold	run-3	us	47173	6902	2909039	163449
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	cold	run-4	us	47473	6830	2066857	160835
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	cold	run-5	us	47363	6835	2409798	163466
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	warm	run-1	us	47969	6756	2078391	127231
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	warm	run-2	us	46412	6835	2658916	126674
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	warm	run-3	us	47075	6833	2198105	127981
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	warm	run-4	us	47525	6881	2538490	133369
current_P1_recheck	/tmp/iedadb_p1_retest_20260922/result.tsv	warm	run-5	us	46590	7014	2642609	125044
